IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
 -0.000,   3515,   3037,  0.554, -0.001, -0.510,  0.000, -0.314
 -0.000,   3542,   3012,  0.554, -0.002, -0.566,  0.000, -0.314
 -0.000,   3571,   2986,  0.554, -0.002, -0.625,  0.000, -0.314
 -0.000,   3600,   2960,  0.555, -0.002, -0.683,  0.000, -0.314
 -0.000,   3630,   2934,  0.555, -0.002, -0.743,  0.000, -0.314
 -0.000,   3658,   2907,  0.555, -0.002, -0.802,  0.000, -0.314
 -0.000,   3687,   2881,  0.555, -0.002, -0.861,  0.000, -0.314
 -0.000,   3716,   2854,  0.555, -0.002, -0.921,  0.000, -0.314
 -0.000,   3745,   2827,  0.555, -0.003, -0.980,  0.000, -0.314
 -0.000,   3773,   2800,  0.555, -0.003, -1.039,  0.000, -0.314
 -0.000,   3802,   2772,  0.555, -0.003, -1.100,  0.000, -0.314
 -0.000,   3831,   2744,  0.555, -0.003, -1.161,  0.000, -0.314
 -0.000,   3859,   2716,  0.555, -0.003, -1.221,  0.000, -0.314
 -0.000,   3890,   2688,  0.555, -0.003, -1.284,  0.000, -0.314
 -0.000,   3918,   2659,  0.555, -0.003, -1.345,  0.000, -0.314
 -0.000,   3948,   2630,  0.555, -0.003, -1.408,  0.000, -0.314
 -0.000,   3977,   2602,  0.555, -0.003, -1.468,  0.000, -0.314
 -0.000,   4006,   2574,  0.555, -0.003, -1.529,  0.000, -0.314
 -0.000,   4040,   2541,  0.555, -0.003, -1.601,  0.000, -0.442
 -0.000,   4082,   2502,  0.555, -0.004, -1.687,  0.000, -0.322
 -0.000,   4113,   2473,  0.555, -0.004, -1.751,  0.000, -0.175
 -0.000,   4132,   2461,  0.555, -0.004, -1.785,  0.023, -0.001
 -0.000,   4155,   2486,  0.554, -0.008, -1.782,  0.042,  0.041
 -0.000,   4201,   2528,  0.553, -0.016, -1.787,  0.066,  0.103
 -0.000,   4266,   2598,  0.550, -0.027, -1.781,  0.081,  0.156
 -0.000,   4344,   2691,  0.547, -0.041, -1.765,  0.091,  0.214
 -0.000,   4428,   2801,  0.545, -0.057, -1.738,  0.101,  0.270
 -0.000,   4517,   2926,  0.542, -0.075, -1.699,  0.109,  0.302
 -0.000,   4613,   3064,  0.540, -0.095, -1.654,  0.116,  0.310
 -0.000,   4715,   3210,  0.539, -0.115, -1.607,  0.120,  0.312
 -0.000,   4820,   3358,  0.538, -0.137, -1.561,  0.123,  0.307
 -0.000,   4927,   3512,  0.539, -0.159, -1.511,  0.125,  0.280
 -0.000,   5040,   3664,  0.541, -0.181, -1.469,  0.125,  0.258
 -0.000,   5154,   3814,  0.543, -0.203, -1.431,  0.124,  0.221
 -0.000,   5270,   3963,  0.547, -0.226, -1.396,  0.122,  0.200
 -0.000,   5387,   4109,  0.551, -0.247, -1.365,  0.120,  0.171
