IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN
 -0.012,   7275,   8706,  0.944,  0.434,  1.528,  0.155, -0.040
 -0.012,   7429,   8858,  0.945,  0.460,  1.526,  0.148, -0.038
 -0.012,   7579,   9001,  0.946,  0.485,  1.519,  0.142, -0.038
 -0.012,   7721,   9141,  0.947,  0.509,  1.516,  0.135, -0.040
 -0.012,   7858,   9274,  0.949,  0.531,  1.512,  0.129, -0.040
 -0.012,   7988,   9402,  0.950,  0.553,  1.510,  0.123, -0.037
 -0.012,   8114,   9523,  0.951,  0.574,  1.505,  0.117, -0.036
 -0.012,   8232,   9640,  0.953,  0.594,  1.504,  0.111, -0.036
 -0.012,   8345,   9750,  0.954,  0.613,  1.500,  0.106, -0.035
 -0.012,   8451,   9858,  0.955,  0.631,  1.503,  0.101, -0.033
 -0.012,   8554,   9958,  0.956,  0.648,  1.499,  0.097, -0.035
 -0.012,   8651,  10056,  0.958,  0.664,  1.500,  0.092, -0.034
 -0.012,   8744,  10147,  0.959,  0.680,  1.498,  0.089, -0.035
 -0.012,   8834,  10236,  0.960,  0.695,  1.497,  0.084, -0.037
 -0.012,   8919,  10321,  0.961,  0.709,  1.497,  0.080, -0.038
 -0.012,   9001,  10402,  0.962,  0.723,  1.496,  0.076, -0.039
 -0.012,   9079,  10479,  0.963,  0.736,  1.495,  0.073, -0.040
 -0.012,   9153,  10553,  0.964,  0.748,  1.495,  0.069, -0.042
 -0.012,   9226,  10624,  0.965,  0.761,  1.493,  0.066, -0.044
 -0.012,   9294,  10689,  0.966,  0.772,  1.490,  0.062, -0.045
 -0.012,   9360,  10752,  0.966,  0.783,  1.487,  0.060, -0.047
 -0.012,   9422,  10812,  0.967,  0.793,  1.484,  0.057, -0.048
 -0.012,   9482,  10870,  0.968,  0.803,  1.482,  0.055, -0.048
 -0.012,   9540,  10926,  0.969,  0.813,  1.480,  0.052, -0.049
 -0.012,   9595,  10978,  0.970,  0.822,  1.477,  0.050, -0.049
 -0.012,   9647,  11029,  0.971,  0.830,  1.476,  0.047, -0.049
 -0.012,   9697,  11078,  0.972,  0.839,  1.475,  0.045, -0.050
 -0.012,   9746,  11125,  0.972,  0.847,  1.473,  0.042, -0.051
 -0.012,   9796,  11173,  0.973,  0.854,  1.469,  0.040, -0.053
 -0.012,   9841,  11214,  0.974,  0.861,  1.466,  0.038, -0.055
 -0.012,   9878,  11248,  0.975,  0.868,  1.463,  0.037, -0.055
 -0.012,   9924,  11291,  0.975,  0.876,  1.460,  0.035, -0.057
 -0.012,   9962,  11327,  0.976,  0.881,  1.458,  0.033, -0.057
 -0.012,   9998,  11361,  0.977,  0.888,  1.456,  0.032, -0.057
 -0.012,  10034,  11394,  0.977,  0.893,  1.452,  0.030, -0.058
 -0.012,  10067,  11423,  0.978,  0.899,  1.448,  0.028, -0.060
